group,Temperature(K)_Kvalue,Time(h)_Kvalue,ΔK (%),Temperature(K)_dIMP,Time(h)_dIMP,dIMP(μmol/g),Temperature(K)_dHx,Time(h)_dHx,ΔHx (μmol/g)
a,273,8,2.37,273,8,2.18,273,8,0.054
a,273,12,2.48,273,12,2.59,273,12,0.075
a,273,48,6.41,273,24,2.48,273,24,0.078
a,273,72,12.95,273,96,-0.38,273,36,0.106
a,273,144,30.14,273,144,-2.35,273,48,0.127
a,273,192,40.2,273,288,-4.29,273,72,0.195
a,273,240,55.86,277,8,1.65,273,144,0.322
a,273,288,75.87,277,36,1.63,273,240,0.79
a,277,24,5.54,277,72,2.44,273,288,2.731
a,277,72,18.55,277,96,-1.5,277,8,0.115
a,277,96,28.85,277,144,-1.39,277,12,0.107
a,277,144,28.56,277,192,-2.99,277,36,0.162
a,277,192,41.74,277,240,-3.44,277,48,0.139
a,277,240,67.21,281,8,1.84,277,72,0.163
a,281,12,5.58,281,12,1.14,277,144,0.233
a,281,24,12.37,281,24,1.22,277,192,0.213
a,281,36,18.29,281,36,1.57,277,240,2.311
a,281,48,40.02,281,48,-0.1,281,8,0.067
a,281,96,59.42,281,96,-3.16,281,12,0.122
a,288,2,0.47,281,144,-4.5,281,24,0.197
a,288,4,0.2,288,4,1.01,281,72,1.102
a,288,8,11.04,288,8,0.67,281,96,1.637
a,288,12,13.38,288,12,2.02,281,144,3.039
a,288,24,43.49,288,24,-1.51,288,2,0.042
a,288,48,74.95,288,48,-4.13,288,4,0.082
a,288,72,79.21,288,72,-4.59,288,36,1.156
a,293,2,3.4,293,4,1.14,288,48,4.085
a,293,8,22.68,293,12,-2.95,293,2,0.095
a,293,24,64.45,293,24,-3.52,293,8,0.145
a,293,48,82.65,293,36,-4.63,293,48,5.53
b,273,96,24.02,273,48,2.42,281,36,0.224
b,277,8,0.55,273,72,2.7,281,48,0.486
b,277,36,5.21,273,192,-2.37,288,8,0.132
b,281,8,3.12,288,2,0.63,288,12,0.308
b,281,48,26.49,288,26,-3.15,288,72,6.447
b,281,144,79.72,293,8,0.21,293,12,0.384
b,288,36,54.74,293,48,-4.65,293,24,2.05
c,273,24,2.77,273,36,2.07,273,96,0.263
c,273,36,3.09,273,240,-3.02,273,192,0.39
c,277,12,0.95,277,12,2.8,277,24,0.096
c,277,48,10.32,277,24,1.53,277,96,0.179
c,293,4,7.82,277,48,2.04,288,24,0.384
c,293,12,46.53,281,72,-0.78,293,4,0.132
c,293,36,81,293,2,1.89,293,36,4.822
